# x t u
0.00000000e+00 0.00000000e+00 3.35462628e-04
2.45436926e-02 0.00000000e+00 3.79943393e-04
4.90873852e-02 0.00000000e+00 4.29902068e-04
7.36310778e-02 0.00000000e+00 4.85955000e-04
9.81747704e-02 0.00000000e+00 5.48780233e-04
1.22718463e-01 0.00000000e+00 6.19122731e-04
1.47262156e-01 0.00000000e+00 6.97799933e-04
1.71805848e-01 0.00000000e+00 7.85707650e-04
1.96349541e-01 0.00000000e+00 8.83826307e-04
2.20893233e-01 0.00000000e+00 9.93227535e-04
2.45436926e-01 0.00000000e+00 1.11508112e-03
2.69980619e-01 0.00000000e+00 1.25066230e-03
2.94524311e-01 0.00000000e+00 1.40135942e-03
3.19068004e-01 0.00000000e+00 1.56868196e-03
3.43611696e-01 0.00000000e+00 1.75426884e-03
3.68155389e-01 0.00000000e+00 1.95989715e-03
3.92699082e-01 0.00000000e+00 2.18749112e-03
4.17242774e-01 0.00000000e+00 2.43913141e-03
4.41786467e-01 0.00000000e+00 2.71706473e-03
4.66330160e-01 0.00000000e+00 3.02371361e-03
4.90873852e-01 0.00000000e+00 3.36168649e-03
5.15417545e-01 0.00000000e+00 3.73378792e-03
5.39961237e-01 0.00000000e+00 4.14302896e-03
5.64504930e-01 0.00000000e+00 4.59263759e-03
5.89048623e-01 0.00000000e+00 5.08606923e-03
6.13592315e-01 0.00000000e+00 5.62701720e-03
6.38136008e-01 0.00000000e+00 6.21942310e-03
6.62679700e-01 0.00000000e+00 6.86748701e-03
6.87223393e-01 0.00000000e+00 7.57567744e-03
7.11767086e-01 0.00000000e+00 8.34874099e-03
7.36310778e-01 0.00000000e+00 9.19171150e-03
7.60854471e-01 0.00000000e+00 1.01099188e-02
7.85398163e-01 0.00000000e+00 1.11089965e-02
8.09941856e-01 0.00000000e+00 1.21948898e-02
8.34485549e-01 0.00000000e+00 1.33738613e-02
8.59029241e-01 0.00000000e+00 1.46524968e-02
8.83572934e-01 0.00000000e+00 1.60377093e-02
9.08116626e-01 0.00000000e+00 1.75367424e-02
9.32660319e-01 0.00000000e+00 1.91571718e-02
9.57204012e-01 0.00000000e+00 2.09069052e-02
9.81747704e-01 0.00000000e+00 2.27941809e-02
1.00629140e+00 0.00000000e+00 2.48275643e-02
1.03083509e+00 0.00000000e+00 2.70159425e-02
1.05537878e+00 0.00000000e+00 2.93685169e-02
1.07992247e+00 0.00000000e+00 3.18947934e-02
1.10446617e+00 0.00000000e+00 3.46045698e-02
1.12900986e+00 0.00000000e+00 3.75079216e-02
1.15355355e+00 0.00000000e+00 4.06151844e-02
1.17809725e+00 0.00000000e+00 4.39369336e-02
1.20264094e+00 0.00000000e+00 4.74839613e-02
1.22718463e+00 0.00000000e+00 5.12672504e-02
1.25172832e+00 0.00000000e+00 5.52979450e-02
1.27627202e+00 0.00000000e+00 5.95873188e-02
1.30081571e+00 0.00000000e+00 6.41467385e-02
1.32535940e+00 0.00000000e+00 6.89876259e-02
1.34990309e+00 0.00000000e+00 7.41214154e-02
1.37444679e+00 0.00000000e+00 7.95595087e-02
1.39899048e+00 0.00000000e+00 8.53132262e-02
1.42353417e+00 0.00000000e+00 9.13937554e-02
1.44807786e+00 0.00000000e+00 9.78120957e-02
1.47262156e+00 0.00000000e+00 1.04579001e-01
1.49716525e+00 0.00000000e+00 1.11704920e-01
1.52170894e+00 0.00000000e+00 1.19199928e-01
1.54625263e+00 0.00000000e+00 1.27073670e-01
1.57079633e+00 0.00000000e+00 1.35335283e-01
1.59534002e+00 0.00000000e+00 1.43993333e-01
1.61988371e+00 0.00000000e+00 1.53055738e-01
1.64442740e+00 0.00000000e+00 1.62529699e-01
1.66897110e+00 0.00000000e+00 1.72421624e-01
1.69351479e+00 0.00000000e+00 1.82737052e-01
1.71805848e+00 0.00000000e+00 1.93480582e-01
1.74260218e+00 0.00000000e+00 2.04655791e-01
1.76714587e+00 0.00000000e+00 2.16265167e-01
